"","CEB01","CEB02","CEB04","CEB05","CEB06","CEB07","CEB08","CEB09","CEB10","CEB11","CEB12","CEB13","CEB14","CEB16","CEB18","CEB19","CEB21","CEB22","CEB23","CEB24","CEB25","CEB26","CEB27","CEB29","CEB32","CEB33","CEB35","LEY01","LEY02","LEY04","LEY05","LEY06","LEY07","LEY11","LEY13","LEY15"
"CEB19",-0.00454195970928772,-0.00752001010485389,-0.00308787514640782,-0.0057933494967618,-0.0217079365566562,0.00375336706821918,0.00256936512516175,-0.00537002406808264,-0.00115167718593936,8.00715938275056e-05,-0.00888245070473653,-0.017896148687488,0.00116693728200144,-0.00582598149046692,0.00627140469765379,NA,0.0326738171084549,-0.00297962626159348,0.004265172735761,0.00674039383568051,-0.013666004238695,-0.00195830614164742,-0.00590773647977844,-0.0123773070072384,-0.00387162736150469,0.00268682561611937,-0.000669054845328051,-5.93515839453498e-05,-0.0138529526251917,0.000141572376522652,0.00143806249572836,0.0016118569796539,0.0339429354687444,-0.00157547952387439,-0.00949516530901451,0.000573403147681532
"CEB21",0.0176415556644541,0.0252212389380531,0,0.0235183727828562,0,0.0282427625619537,0.0170394602020448,0.0373980818040925,0.0202275600505689,0.0237107303822959,0.0175901495162709,0,0.0108488491423545,0.0491126070991432,0.0128994297094234,0.0326738171084549,NA,0.00147010780790591,0,0.0350087873462215,0.011511012201673,0.0144432365274111,-0.0116216006818005,0,0,0.0378996432531093,0.023468334224227,0,0,0.0290950059924758,0.0275355393620834,0.0180857275419957,0,0.0150558892859859,0.0199563852189358,0
"CEB22",0.0125038993740917,4.24181393541628e-06,-0.0130810366104484,0.0137831158023172,-0.0109765021546467,8.74438570690583e-05,-0.00549840116588066,0.0129503344775106,0.00614392265053877,-0.00130475923055726,-0.00999167360532889,-0.0112899351429258,0.00888966733146402,0.0147376694831991,0.00518304032786413,-0.00297962626159348,0.00147010780790591,NA,0.0051065899327227,0.0266072510166999,-0.00212160998895717,0.00901463414634146,-0.0180446236908866,-0.00951938704434641,0.0110268241182451,0.016169068710624,0.00174686571977589,-0.0114872109051922,-0.0128236148076458,0.00859276946361565,-0.00746513206330243,0.00611441250537866,0.0200943827066525,0.00252824931634079,-0.00746110826669234,-0.0113505510774798
"CEB23",-0.00248004281654463,0.0017999100044998,0,0.00455218896573964,0,0.00398640110716651,0.0200325340402458,0.00851658047784923,0.00388814116943326,0.0141907931105499,0.00617011899515205,0,-0.0135346173867777,0.00526315789473684,0.0121670747088063,0.004265172735761,0,0.0051065899327227,NA,0.0126241134751773,0.00874342308882701,0.00514098769278704,0.0144677661169416,0,0,0.0264935853640021,-0.00272268180428018,0,0,0.0173244270645397,0.0114355851553485,0.00549965080264395,0,0.0134777012190505,0.0119097807757167,0
"CEB24",0.00472029777714199,0.0166999714530403,0.00766087844739534,0.00615976620420748,0.0148820069449366,0.00480081927031589,0.00708072257331185,0.00386985337946713,0.00538283444336657,0.00804276071133983,0.00210233598195816,0.00684339432358454,0.00626721086348508,-0.000791663780392444,0.00769321996556802,0.00674039383568051,0.0350087873462215,0.0266072510166999,0.0126241134751773,NA,0.00870238335763513,0.00354621242425956,0.00521762437517215,-0.00880192041900047,0.0169226393629124,0.0145700495025186,0.00881127133799898,0.012230266394883,-0.00320582877959923,0.00596779978784095,0.00970584641349619,0.00644496069053796,0.044455165759184,0.00287631361854944,-0.00386440779803806,0.00846721667390364
"CEB25",-0.00819345548628298,-0.00904536949243559,-0.0169881717869334,-0.0137378190676058,-0.000538876058506521,-0.00837993637752865,-0.0056464683587439,-0.0104615843560686,-0.00888407697445327,-0.0140930882737334,-0.00635492285806615,-0.0237138580319861,-0.00114231223863396,-0.0169056235528495,-0.00715117583817372,-0.013666004238695,0.011511012201673,-0.00212160998895717,0.00874342308882701,0.00870238335763513,NA,-0.00988696166661475,-0.00462641092753146,-0.0103259613161747,-0.0189588189588189,-0.00238042119902521,-0.011938947214398,-0.0194100565489836,-0.00767784393607016,-0.0017607797053825,-0.00972184232550707,-0.00834470910398769,0.0319336367640582,-0.00668107161131673,-0.00324646116793686,0.00177455443252838
"CEB26",-0.00381032989392435,0.00360029673143297,-0.00721385059313883,-0.00531384308825003,-0.000931966449207828,-0.00194232302257471,-0.00828915718746773,-0.00304640722438644,-0.0113841243905608,-0.00477896565999375,-0.0104727935038324,-0.0236524537409493,-0.0100160691861233,0.00222092343658679,0.00600601531556238,-0.00195830614164742,0.0144432365274111,0.00901463414634146,0.00514098769278704,0.00354621242425956,-0.00988696166661475,NA,-0.00854983917036098,-0.00748129675810474,-0.0103189493433396,0.00749072732103886,0.00138414806000065,-0.00182038834951456,-0.027906976744186,-0.00237321919487632,7.31834565324325e-06,0.00442484381854217,0.0324861878453039,-0.00104275286757035,-0.00218639807835653,-0.0165005978477481
"CEB27",-0.00438970553645364,0.000461246562466527,-0.00868823209991462,-0.0015540277468555,-0.023378640776699,0.00400160440527068,-0.00536326845554008,-0.00972979013917121,0.0026570944421606,-0.00465732418661869,-0.0106094309227305,-0.0312106918238993,-0.00165013895250672,0.00841997457447923,-0.000254410982890375,-0.00590773647977844,-0.0116216006818005,-0.0180446236908866,0.0144677661169416,0.00521762437517215,-0.00462641092753146,-0.00854983917036098,NA,-0.0133404891512688,0.006994058810258,0.0069041221095311,-0.00367240115686134,-0.0210125618576322,-0.0205080400838965,-0.00075685189019969,-0.00189506641944064,0.00113702958979578,0.03056609279253,-0.00874501354535852,-0.0132675682162003,0.00258653480410807
"CEB29",-0.0369921447052515,-0.002714113389626,0,-0.0133044771239285,0,-0.028029589362655,-0.0224684855068499,-0.00694525278392113,-0.0154760997179233,-0.0183547749412085,-0.0342413635671892,0,-0.0321385359951602,0.0168961201501877,-0.0285860767163298,-0.0123773070072384,0,-0.00951938704434641,0,-0.00880192041900047,-0.0103259613161747,-0.00748129675810474,-0.0133404891512688,NA,0,0.0111794942719499,-0.017569313776609,0,0,-0.0134314295017628,-0.0132493673302939,-0.0186482924558897,0,-0.0174351026733824,-0.0204483137886697,0
"CEB32",-0.000292671944767465,0.00627802690582965,0,0.0115841275394949,0,-0.00661650724034933,0.00834597875569046,0.0111003455983888,0.0228655185049469,0.000483292437952816,0.00221075902726603,0,-0.0115769944341372,0.0303217344340714,0.0111949397394498,-0.00387162736150469,0,0.0110268241182451,0,0.0169226393629124,-0.0189588189588189,-0.0103189493433396,0.006994058810258,0,NA,0.0305999397045523,-0.00688571214729433,0,0,0.0138069885770125,0.0058335293014828,0.0154987325548049,0,-0.00413412953605874,-0.00114838503601054,0
