"","CEB01","CEB02","CEB04","CEB05","CEB06","CEB07","CEB08","CEB09","CEB10","CEB11","CEB12","CEB13","CEB14","CEB16","CEB18","CEB19","CEB22","CEB23","CEB24","CEB25","CEB26","CEB27","CEB29","CEB32","CEB33","CEB35","LEY01","LEY02","LEY04","LEY05","LEY06","LEY07","LEY11","LEY13","LEY15"
"CEB12",-0.0256355454866853,-0.0166358595194085,0.0072992700729927,0.00210162765484678,-0.0501930501930502,0.0104097309060201,-0.00847918207562203,-0.014982685912161,0.072480181200453,-0.0347742407950242,NA,0.048951048951049,0.0060002926972048,-0.0123893805309735,-0.0180127832655433,-0.00723608669858366,0.0779661016949153,0.0320284697508897,-0.0180645161290322,-0.0501653803748621,-0.0131147540983607,-0.01339405304045,-0.00740740740740741,-0.138075313807531,-0.0175613128409196,-0.0599422134475325,-0.0967741935483871,0.0320284697508897,-0.0140159848010597,-0.0446404421085011,-0.0120349405184863,-0.105691056910569,0.0904892661008488,-0.0524345373927101,0.111111111111111
"CEB13",-0.0327444051825676,-0.0348258706467662,NA,0.0187636698515023,NA,-0.00888099467140316,-0.0558930741190765,-0.0217256362507759,0.0674285714285714,0.0836346107495783,0.048951048951049,NA,0.0862944162436548,-0.0242214532871972,0.0458502611723738,0.041535159702058,NA,NA,0.131034482758621,0.0282485875706215,-0.03125,0.00378310214375789,NA,NA,-0.0697969543147208,-0.0969267139479905,NA,NA,-0.0156720072762891,0.0522422561257514,0.0235686057859435,NA,0.0824622531939605,-0.0623066725585505,NA
"CEB14",0.0147961006881168,0.040959040959041,0.0977443609022556,0.0126443040433863,0.104477611940299,0.0484032135576961,0.00448522614441745,0.0123577805006127,0.0987444415380591,0.025945692218441,0.0060002926972048,0.0862944162436548,NA,0.0227685430926108,0.0425119311226946,0.0295408090197764,0.194630872483221,0.0745501285347044,0.0461627236006924,0.0309080962800875,0.0875778673506779,0.0381391450125734,0.0977443609022556,0.0697674418604651,0.0267154508104573,0.0445630981356645,0.0954773869346734,0.115479115479115,-0.01894476499289,-0.00781825748885933,0.0147199933838955,0.04,0.0425889604931353,0.00263232619356424,0.150943396226415
"CEB16",-0.0149476662736186,-0.191146881287726,0.0263157894736842,-0.00363431550483967,-0.00338983050847458,0.0253740546193892,-0.00330412297083751,0.0418495130043883,0.0484631340750519,0.0740847519315426,-0.0123893805309735,-0.0242214532871972,0.0227685430926108,NA,0.0422687116369808,0.0669961870406561,-0.0206896551724138,0.0263157894736842,0.0663501026694045,0.048499399759904,-0.161870503597122,0.0381565906838454,-0.0171821305841924,-0.034965034965035,0.0483279387597228,0.0257141481517146,-0.0571428571428571,0.0166112956810631,0.026024274047062,0.0447400049145578,0.036635672275171,-0.0685920577617329,0.0335859905906953,-0.080870497929644,0.00671140939597315
"CEB18",0.0375638343474313,0.0049658622939375,0.0312315851502652,0.0342355339023576,-0.0326633165829145,0.0469416740260705,0.0306558719184936,0.00756958642021398,0.081062630209866,0.0387795107641213,-0.0180127832655433,0.0458502611723738,0.0425119311226946,0.0422687116369808,NA,0.0573547682400175,0.0312315851502652,0.108459869848156,0.00579739827016032,0.0560789086739037,0.0596566027750551,-0.0147858032000486,0.0214285714285715,-0.0294301815904821,0.0504282575177771,-0.025553216267663,-0.0545221295702373,0.102129983615511,0.0447605510074278,0.0363774581954148,0.0401530584930318,-0.0478011472275334,0.031104600145508,-0.00959435146817811,0.0971993410214168
"CEB19",0.0207359575787381,-0.0237183776860655,0.112773168166414,0.0667410655856881,0.0334818586887334,0.054741860211263,0.0434710680159264,0.0142224739084884,0.0753487045012255,0.0317623895635212,-0.00723608669858366,0.041535159702058,0.0295408090197764,0.0669961870406561,0.0573547682400175,NA,0.0744849445324882,0.109338338808071,0.0215345553368283,0.04532210837106,0.0830582303037788,0.0657297838935863,0.0697218478127682,-0.0578236031768147,-0.0164537185086967,0.0288674779626903,-0.0137535051408731,0.086621751684312,0.0388423355545657,0.00856188584191479,0.0359005141341546,0.0222794591113975,0.00209095073719493,0.0294410922479035,0.112462006079027
"CEB22",0.0272908808520081,0.0234741784037559,NA,0.0975119110640551,NA,0.0698689956331878,0.0445299615173172,0.0737197523916714,0.120689655172414,0.111370807526002,0.0779661016949153,NA,0.194630872483221,-0.0206896551724138,0.0312315851502652,0.0744849445324882,NA,NA,0.027027027027027,0.00807381776239909,-0.10738255033557,-0.0246433203631647,NA,NA,0.0214741729541498,-0.0316842690383546,NA,NA,0.0455621301775148,0.0299302022950433,-4.23606586477222e-05,NA,0.0412621359223301,-0.0701090585354996,NA
"CEB23",0.0161579892280073,0.00952380952380952,NA,0.0344358858178524,NA,0.0601213458356316,0.0285075461151482,0.0266114725014785,0.0695553021664766,0.0780795344325898,0.0320284697508897,NA,0.0745501285347044,0.0263157894736842,0.108459869848156,0.109338338808071,NA,NA,0.0858524788391778,0.0249433106575964,-0.0280373831775701,0.0365853658536585,NA,NA,0.103191489361702,0.00695559122525417,NA,NA,-0.0167390390811038,0.0431738623103851,0.0238074961393981,NA,0.0738569753810082,-0.0572842221000549,NA
"CEB24",0.0411983789622291,0.0792818765561526,0.166482910694598,0.0746162392800592,0.0666666666666667,0.0313529520636683,0.037665762936261,0.0428772037771239,0.0867890614969829,0.0531792124549482,-0.0180645161290322,0.131034482758621,0.0461627236006924,0.0663501026694045,0.00579739827016032,0.0215345553368283,0.027027027027027,0.0858524788391778,NA,0.00564516129032259,0.108080463689056,0.00773495790266275,0.115789473684211,0.0381679389312977,0.0089542209155817,0.0150485817549313,-0.0723404255319149,0.107438016528926,0.0292595505599444,-0.0108028209348506,0.0191445616069859,0.00657030223390277,0.0400651908189597,0.00694203657663907,0.13203214695752
"CEB25",0.012645857473151,-0.00295515867917252,0.0249433106575964,0.0398717719884444,-0.0475030450669915,0.0593049457622562,0.0375639601102177,0.00169703649742229,0.013774467804653,0.00388923208783707,-0.0501653803748621,0.0282485875706215,0.0309080962800875,0.048499399759904,0.0560789086739037,0.04532210837106,0.00807381776239909,0.0249433106575964,0.00564516129032259,NA,0.029087146470453,-0.030728476821192,0.0023201856148492,-0.116883116883117,0.00610272517410433,-0.0458634633051303,-0.00233100233100232,0.0497237569060774,0.00749852128141314,-0.00370210088546595,-0.0176240269939689,-0.0141509433962264,0.0502416687865683,-0.0175860763899892,0.0570175438596491
