"","CEB01","CEB02","CEB04","CEB05","CEB08","CEB09","CEB11","CEB15","CEB16","CEB19","CEB20","CEB22","CEB24","CEB25","CEB26","CEB27","CEB29","CEB35","LEY05","LEY07","LEY09","LEY10","LEY11","LEY13","LEY14","LEY15"
"CEB20",-0.0241967473224911,0,-0.0308193435229266,0,-0.0109385550303849,0,0,0,0,0.0241024353502385,NA,-0.000789473684210526,-0.00362563130510002,-0.0333171747874277,-0.0055002925687536,0.0874608532567119,-0.0481786133960047,-0.0522697795071335,0.0201597565614302,0,0,0,0,0,-0.0210444271239283,0.0202197330279498
"CEB22",0.0330902972518228,0.00507218103784627,0.00333127698951265,0.0981792217065334,0.00551398188263096,0.0361805296531145,-0.0120320855614973,0.0736415633937083,0.0155440414507772,0.00361102312321825,-0.000789473684210526,NA,-0.0144270205066345,-0.0215772307988577,0.00514506724070639,0.0809614875938451,-0.00767067246228586,-0.0187651049560499,0.0102492724281918,0.0639527881488619,-0.0194573130377234,0.0283726492010001,0.0074093331600156,-0.0169187387849269,-0.0104840797307792,0.00671319010336256
"CEB24",-0.00813847995971582,-0.00317912459625114,-0.0119960698195367,0.0768781399696227,0.00105282636021977,-0.0148375543617293,-0.031163708086785,0.0622635099516184,-0.0217188954390319,-0.014910249443165,-0.00362563130510002,-0.0144270205066345,NA,-0.0061859187544338,0.0122698168922911,0.0881860404459444,-0.0287524325566087,-0.0104699707236223,-0.00485341837672223,0.043731778425656,-0.0643381124814602,0.0229905582464677,0.00265923768519693,-0.0463735496138771,-0.0179411404348818,-0.00699688378401715
"CEB25",-0.0103623971768837,-0.0159317980172047,-0.0157762049498276,0.00957070009294386,-0.0392654259749349,-0.0165396194990711,-0.043954725432948,0.0268110274709161,-0.0180742348487784,-0.0186737949418595,-0.0333171747874277,-0.0215772307988577,-0.0061859187544338,NA,-0.00842036460047264,0.049290814824991,-0.0351720174419772,-0.0193403135096438,0.00390957806975596,0.0345805607068834,-0.0466784461615548,-0.0174627754615842,-0.00220677339116011,-0.0449942880880672,-0.0311231740411245,-0.0101053662523485
"CEB26",0.0170084230964343,0.00289452356142185,-0.0202455852209167,-0.143199042680495,0.00790018920787881,0.0145702902675015,-0.00878014516506669,-0.0359174964438122,0.00232423009877984,0.00716881989599403,-0.0055002925687536,0.00514506724070639,0.0122698168922911,-0.00842036460047264,NA,-0.00335396335658038,-0.00128153538191031,-0.0129714945764017,0.0189992053951631,0.0224643378636415,-0.028235852414284,-0.0639156761605741,0.00826636050516652,-0.00950962419798344,0.00490356749109654,0.00728631471916704
"CEB27",0.0804810996000198,0.0891773700403316,0.0576447867422541,-0.0481033385030338,0.0753358716216843,0.0927821603029679,0.0461026636664987,-0.0380600193295652,0.0903031053875244,0.0595935068808314,0.0874608532567119,0.0809614875938451,0.0881860404459444,0.049290814824991,-0.00335396335658038,NA,0.0810873088289968,0.039761977923244,0.0962700532076704,0.095517247287083,0.0765386232157952,-0.0144858861026918,0.0460531826545967,0.0694054870271767,0.0692764643810763,0.0784311104661584
"CEB29",-0.0332912988650694,-0.0238968264003035,-0.0410611998794091,0.0242665700833032,-0.0257188077024532,-0.0554908808692278,-0.0444797458300238,-0.00181488203266788,-0.00369276218611521,-0.00957746478873239,-0.0481786133960047,-0.00767067246228586,-0.0287524325566087,-0.0351720174419772,-0.00128153538191031,0.0810873088289968,NA,-0.02754305939829,-0.0322082931533269,0.02812388750445,-0.0558139534883721,-0.0066158781074579,-0.00600450337753315,-0.0386793589589107,-0.0479340906253901,0.0022605360225284
"CEB35",-0.00874270341889004,-0.0506983962752198,-0.0163210209841698,0.00539017518069342,-0.0337649760499182,-0.028363453815261,-0.0340588988476312,-0.0247221875390186,-0.0333968253968253,-0.0201445388085585,-0.0522697795071335,-0.0187651049560499,-0.0104699707236223,-0.0193403135096438,-0.0129714945764017,0.039761977923244,-0.02754305939829,NA,-0.000169547389851805,0.0106829912375466,-0.0613323025383326,-0.0417665183156453,-0.00111275964391688,-0.0416925948973242,-0.0178564699873141,0.0139436588903332
"LEY05",-0.00347311551324929,0.017306245297216,0.00441230542958696,0.0575724239090576,0.0109777235667972,0.00719787852001515,-0.0106592972759574,0.0415512465373961,0.0266227180527383,0.0323007518796993,0.0201597565614302,0.0102492724281918,-0.00485341837672223,0.00390957806975596,0.0189992053951631,0.0962700532076704,-0.0322082931533269,-0.000169547389851805,NA,0.0259451445515196,0.00297324083250743,-0.00980495519240907,0.00669027941755215,-0.0310435107841915,-0.00340393343419062,0.00730764170891881
"LEY07",0.0121786197564276,0,0.00527240773286467,0,0.061840490797546,0,0,0,0,0.0649806814190376,0,0.0639527881488619,0.043731778425656,0.0345805607068834,0.0224643378636415,0.095517247287083,0.02812388750445,0.0106829912375466,0.0259451445515196,NA,0,0,0,0,0.0292700129305278,0.03516549835198
