"","CEB01","CEB02","CEB03","CEB04","CEB05","CEB06","CEB07","CEB08","CEB09","CEB10","CEB11","CEB12","CEB13","CEB14","CEB15","CEB16","CEB18","CEB19","CEB20","CEB21","CEB22","CEB23","CEB24","CEB25","CEB26","CEB27","CEB29","CEB32","CEB33","CEB35","LEY01","LEY02","LEY04","LEY05","LEY06","LEY07","LEY09","LEY10","LEY11","LEY13","LEY14","LEY15"
"CEB11",0.00207899948519893,0.00342732259109583,0.0995879952138882,0.00812507644754179,-0.00824183937073022,0.0187765284833295,-0.00100397292771698,-0.00458969340655761,-0.00262930011761005,-0.0108448697328992,NA,-0.0185586294659897,-0.00152771317375015,0.010941200465744,0.0770854408955411,0.0412878464117995,0.0108212596472577,0.0057083170957053,0.0654247944393548,-0.00125647259187528,0.0305360633108311,0.02742934335941,0.0101803845439397,0.0147339036607568,0.00623015039553372,0.0426534913465051,0.0218159828698111,-0.0108559272551957,0.0106958059427592,0.00127961353289444,-0.0319808407638019,-0.0153136013315513,0.00840734026046998,-8.26123410227699e-05,0.0125875203844515,0.0164935038907449,0.026448390859589,-0.00720972786689863,-0.00354916993298017,0.00227944978921823,0.0222286152027399,0.0171234909147079
"CEB12",-0.0119122804589494,-0.00566816683088851,0.0970514077490742,-0.0138817991155824,-0.0245247459655379,-0.00112180546578989,-0.0226325731626633,-0.0181244996301814,-0.0169418397204394,-0.0241427802654114,-0.0185586294659897,NA,-0.0280249138205473,0.00579595012476561,0.0478933609986827,0.0324721561784812,0.00462766575216277,-0.0048056980426501,0.0577069636607108,0.00792284629678187,0.0180047547459424,0.0078001125420025,-0.00338353566413135,0.00435943785322877,-0.0089867438204131,0.0287695272958664,0.00593060998444646,-0.00348288817074143,0.0106594925107478,-0.0124502833563774,-0.0217323633512803,-0.0291234550362267,0.00675195236671243,-0.0143863189021597,0.00931001358762383,0.0192771481194099,0.0125840845650483,-0.0313799555355644,-0.00597474996924271,-0.017412729913539,-0.00474323402204137,-0.00362340485284635
"CEB13",0.00169763372503268,-0.024371875784013,0.119734292571484,-0.0256885653531568,-0.00831766534132467,0.0311193804632681,0.00813980620808005,0.00313254314713487,-0.00215850036235202,0.00447230876439958,-0.00152771317375015,-0.0280249138205473,NA,-0.0211970178437055,0.0465101990661096,0.0226454949360688,-0.017421537205629,-0.0108620319327464,0.0707178108787031,-0.0581013735261942,0.0129222633262908,0.0325976651556048,0.0184852844085013,0.01318357742943,0.0119560372651372,0.0367791305173478,0.00242970366008337,-0.0468584850264239,-0.000335343040541848,-0.0164918104261284,-0.0604129793510324,-0.0510648596321394,0.00198600507049157,-0.0131227196918518,-0.0033881074449855,0.00343118951267019,-0.00898096036402824,0.0225338775625866,-0.0255212285398252,0.0115509003511605,0.0462642889921151,0.0311961893083281
"CEB14",0.00618291617944509,0.00114268456084003,0.0592449096010987,-0.0114834678192533,0.0129564941613604,0.0231080901503611,0.0172296155092705,0.020234266116801,0.0114446773401701,0.0203434024026707,0.010941200465744,0.00579595012476561,-0.0211970178437055,NA,0.0440872889420834,0.0146807901788048,-0.00271743875393675,-0.00282993859508352,0.0475400604923004,-0.00749402194432679,0.0115708064091864,0.0241374992365773,0.0162736070291573,0.0207646139432147,0.0216780734379369,0.0460770533498636,0.00552868146163051,-0.0252820004152153,0.0134452579006574,0.00801809052081817,-0.0607500444339119,-0.0324472014728472,0.014583932858111,-0.00416446427109951,0.00990579927961709,0.018185730151051,0.010333080570866,0.0210706493900172,-0.0129131155327368,0.0188543837753211,0.0534362922953562,0.0246786690972302
"CEB15",0.0392544048167191,0.0684187204023852,0.109515970665863,0.0206531139854457,0.0521886474029469,0.0445924567783906,0.0461922042659767,0.0491991254806326,0.0324468381424458,0.0605561108821432,0.0770854408955411,0.0478933609986827,0.0465101990661096,0.0440872889420834,NA,0.0399977571043156,0.0779167935037198,0.0330485024908795,0.0468237137549315,0.0314637482900137,0.0107018291476579,0.0205691884013292,0.0295088676944419,0.0277138730152944,0.0188585390748966,-0.00877206613256822,0.00436918374254338,0.0420960315720237,0.123886059192128,0.0196480641488217,0.00234139814918051,0.040870062965083,0.107798337908686,0.0464105400687807,0.103122964934877,0.101418002466091,-0.00969907983088784,0.0123483188111402,0.0426668107940638,0.053356986354482,0.0484484217817008,0.0275799033827756
"CEB16",0.0183104981047818,0.0465008386041326,-0.00338088250467839,-0.00919301834671194,0.0381910466297186,0.00518864906489667,0.0221388904425228,0.0267374186526983,0.0203044271603,0.0403759072421883,0.0412878464117995,0.0324721561784812,0.0226454949360688,0.0146807901788048,0.0399977571043156,NA,0.0441447995058763,0.00397509050863814,-0.00612628843702371,0.0453610946204383,-0.0132187548751129,0.00216763408427813,0.0247496862189747,0.0260103644306771,0.0137052205631128,0.0353117321533392,-0.011599395736597,0.0581599191702004,0.0657587317701977,0.0312785920176678,0.0100829222629429,0.0466087796942238,0.0617215978657614,0.0210844260391641,0.0563731203874768,0.0669355275730153,0.00692470996933502,0.0370426003408044,0.0119937007084871,0.0333857144809228,0.0355995890641074,0.0112682062541803
"CEB18",0.0193365379414054,-0.00398929187354536,0.105813085789663,0.0143361426870125,0.014526646237706,0.0485470980564944,0.0181605953122889,0.0237000982121577,0.0191543202733892,0.0221945642868921,0.0108212596472577,0.00462766575216277,-0.017421537205629,-0.00271743875393675,0.0779167935037198,0.0441447995058763,NA,0.00383634362308438,0.0790710098472119,-0.0159176792046973,0.0307535336025143,0.0557488518705273,0.0258182061559779,0.0289137069940619,0.027257212618059,0.0590461297462789,0.0207464007431501,-0.0389662261380322,0.00945912137489397,0.00676466637274111,-0.0499208543010371,-0.0458636537725009,0.00377159967658729,0.00423698120016517,-0.00264940793979676,0.0117432708907871,0.053861966410077,0.030818823593307,-0.00398827027859731,0.0252264635950299,0.0692691934553571,0.0472473311656125
"CEB19",-0.00174921123586513,-0.00172814809574562,0.0387128354427137,-0.0119029149245066,0.000214955622261748,0.00775468887571079,0.000597415268372407,0.000537568467911764,-1.32153696078552e-05,0.00596527359863703,0.0057083170957053,-0.0048056980426501,-0.0108620319327464,-0.00282993859508352,0.0330485024908795,0.00397509050863814,0.00383634362308438,NA,0.0176536006183364,0.00923280199690987,-0.00482326710572123,0.00881942685656471,0.00270818023661842,0.00523262082953613,0.00132407765497562,0.0244845806874014,-0.0119395216112347,-0.0114706785938004,0.0195460706223649,-0.0045539164640004,-0.0413252192442353,-0.0188645546750959,0.0158500888408002,-0.00477896148728113,0.0153664854252403,0.0141161649904044,-0.00880555991823179,-0.00145852307228206,-0.0137962436403287,0.00522294058388788,0.0235479905686265,0.0032081916619955
"CEB20",0.0358384475380985,0.0839900774500342,-0.00779386630750697,0.0113437273875345,0.0574650026648137,0.0131248917740103,0.0333653238413201,0.0443368035391147,0.0405731423716577,0.0616885013522752,0.0654247944393548,0.0577069636607108,0.0707178108787031,0.0475400604923004,0.0468237137549315,-0.00612628843702371,0.0790710098472119,0.0176536006183364,NA,0.117913902225747,-0.00685945994625385,0.000663047992100201,0.0435115185184432,0.0501018657795655,0.0307613318828926,0.0490347556507669,0.0038279778192432,0.115168125995456,0.110819699122399,0.0536792417018879,0.0851511322448708,0.112011793123511,0.100891734320013,0.0431350947384701,0.0926512898655086,0.107151724623244,0.0485113126155471,0.0516252329875475,0.0413661766604522,0.0458165155903766,0.0376427731596852,0.0218035288024256
"CEB21",0.0151246492003801,-0.00748887845662037,0.178412132024978,-0.00875296056018943,0.0066972586499539,0.0590399684431892,0.0168341791555438,0.00967897790010763,0.00527925615459374,0.00998304299893377,-0.00125647259187528,0.00792284629678187,-0.0581013735261942,-0.00749402194432679,0.0314637482900137,0.0453610946204383,-0.0159176792046973,0.00923280199690987,0.117913902225747,NA,0.0343049324514427,0.06189835994445,0.0293042476832549,0.0244115256040012,0.0293817857416515,0.0485977910592304,0.0293512425660856,0,0.0140895224755778,-0.0169913165020539,0,0,0.000899079645193606,0.00296645522374234,0.00443341850862604,0.0200203596878181,0,0.0461538461538462,-0.0306076079748757,0.0149736942424354,0.0662139246742571,0.0419136782721101
