"","CEB01","CEB02","CEB04","CEB05","CEB08","CEB09","CEB11","CEB15","CEB16","CEB19","CEB20","CEB22","CEB24","CEB25","CEB26","CEB27","CEB29","CEB35","LEY05","LEY07","LEY09","LEY10","LEY11","LEY13","LEY14","LEY15"
"CEB24",0.0187344504061629,0.0725146198830409,0.0792591431322927,0.0191713048855906,0.123311120621141,-0.0225660863958736,0.126651982378855,0.100397050482133,0.0299694189602447,-0.0293206881713172,0.0393700787401575,0.0488532247439967,NA,0.0219653336668982,0.0410111323820777,0.026447883490043,0.0453948525312691,0.0597942694604171,0.0259715151124573,0.0167389956602604,0.00314267756128223,-0.0166666666666666,-0.000630914826498405,-0.0393184796854521,-0.00641988799344349,0.0543448114791189
"CEB25",0.0171988391665508,0.0306818181818183,0.0940552683415298,0.0630492091388401,0.00511464336220818,-0.111980185112762,0.0994510135135136,0.0892590219944481,-0.0215568862275448,0.0114393379290153,0.0176206380283313,-0.00970373200317734,0.0219653336668982,NA,0.0302542839276082,-0.0101361504071575,-0.0182189319180783,0.0287548079569993,-0.0846213435159428,0.0373547003724185,-0.0344409410623332,-0.0494586614173227,-0.118688524590164,0.0151252742177578,0.00147397755124438,0.0214453368349593
"CEB26",0.000962463907603501,0.0267857142857143,0.0133863965267728,-0.00229885057471263,0.0207924676343665,-0.0647130647130647,0.0289532293986637,0.101956745623069,-0.00809248554913294,0.00588536335721601,-0.0246768507638073,0.0120636550308009,0.0410111323820777,0.0302542839276082,NA,0.00115581934329753,-0.0217911575765209,0.0382126724453669,-0.0040598832783557,0.0146892655367232,-0.113665389527458,-0.0175029171528588,-0.022274325908558,-0.0258823529411765,-0.0331821127673363,0.0296527506827936
"CEB27",0.0547690775838817,0.0253493503309635,0.0775888715038905,0.00174372051368612,0.0485977083281373,-0.0212904422783256,0.0930626915306994,0.083374108810321,-0.0407329842931937,0.00482039959499993,-0.0209990155373882,0.0143338161195445,0.026447883490043,-0.0101361504071575,0.00115581934329753,NA,0.0251403907394939,0.0391118973732521,-0.00932641867783627,0.0319653481016939,-0.0750191536346838,-0.0248739688359303,-0.069444361419135,-0.0169075329326001,0.00821985208644566,0.0069642769329919
"CEB29",-0.129533678756477,-0.0790378006872852,-0.0124610591900312,-0.0228013029315961,-0.0194690265486726,-0.0753424657534247,-0.00319488817891374,0.0484848484848485,-0.101754385964912,-0.00657894736842105,-0.15018315018315,0.00326797385620915,0.0453948525312691,-0.0182189319180783,-0.0217911575765209,0.0251403907394939,NA,-0.00452980612429785,-0.0269360269360269,-0.0228013029315961,-0.162962962962963,-0.0865051903114187,-0.117437722419929,-0.0644067796610169,-0.0468497576736672,0.0674553494515592
"CEB35",0.0568978081731039,0.00113765642775882,0.0712260216847373,0.0985626283367556,0.0546697038724374,0.0211817168338908,0.104994903160041,0.102249488752556,0.022271714922049,-0.0102988563846591,-0.052757793764988,-0.00877963125548724,0.0597942694604171,0.0287548079569993,0.0382126724453669,0.0391118973732521,-0.00452980612429785,NA,0.0237886565669213,0.0112612612612613,-0.0591073582629674,0.00113765642775883,-0.0269005847953216,-0.0578313253012048,0.0359181731684111,0.0923384930904829
"LEY05",-0.0165016501650165,0.0177935943060498,0.050314465408805,-0.0260223048327138,-0.0168855534709193,-0.117408906882591,0.14018691588785,0.0860927152317881,-0.117408906882591,-0.037567084078712,-0.0222222222222222,-0.0353356890459364,0.0259715151124573,-0.0846213435159428,-0.0040598832783557,-0.00932641867783627,-0.0269360269360269,0.0237886565669213,NA,0,-0.0739299610894942,-0.037593984962406,-0.0615384615384615,0,-0.0842490842490843,0.0551456028191098
"LEY07",-0.0780141843971631,NA,-0.159574468085106,NA,0.0763636363636364,NA,NA,NA,NA,0,NA,0.037593984962406,0.0167389956602604,0.0373547003724185,0.0146892655367232,0.0319653481016939,-0.0228013029315961,0.0112612612612613,0,NA,NA,NA,NA,NA,0,0.0861079219288175
"LEY09",-0.173745173745174,NA,-0.123711340206186,NA,0,NA,NA,NA,NA,-0.0689655172413793,NA,-0.0711297071129707,0.00314267756128223,-0.0344409410623332,-0.113665389527458,-0.0750191536346838,-0.162962962962963,-0.0591073582629674,-0.0739299610894942,NA,NA,NA,NA,NA,-0.208791208791209,0.0105655686761964
"LEY10",-0.105454545454545,NA,-0.0845771144278607,NA,0.108771929824561,NA,NA,NA,NA,-0.092511013215859,NA,-0.0448979591836735,-0.0166666666666666,-0.0494586614173227,-0.0175029171528588,-0.0248739688359303,-0.0865051903114187,0.00113765642775883,-0.037593984962406,NA,NA,NA,NA,NA,-0.134020618556701,-0.016602809706258
"LEY11",-0.216,NA,-0.135416666666667,NA,-0.00395256916996047,NA,NA,NA,NA,0.0197628458498024,NA,-0.137777777777778,-0.000630914826498405,-0.118688524590164,-0.022274325908558,-0.069444361419135,-0.117437722419929,-0.0269005847953216,-0.0615384615384615,NA,NA,NA,NA,NA,-0.170212765957447,0.0221130221130221
"LEY13",-0.134328358208955,NA,-0.033175355450237,NA,0.147651006711409,NA,NA,NA,NA,-0.0122448979591837,NA,-0.0158730158730159,-0.0393184796854521,0.0151252742177578,-0.0258823529411765,-0.0169075329326001,-0.0644067796610169,-0.0578313253012048,0,NA,NA,NA,NA,NA,-0.0945273631840796,0.055192878338279
"LEY14",-0.0487012987012987,0.0222222222222222,-0.032967032967033,-0.122448979591837,0.0507880910683012,-0.170212765957447,-0.0232558139534884,0.0434782608695652,-0.182795698924731,-0.0106007067137809,-0.0784313725490196,-0.0072463768115942,-0.00641988799344349,0.00147397755124438,-0.0331821127673363,0.00821985208644566,-0.0468497576736672,0.0359181731684111,-0.0842490842490843,0,-0.208791208791209,-0.134020618556701,-0.170212765957447,-0.0945273631840796,NA,0.0437886701323749
"LEY15",0.0964905810677249,0.0591016548463357,0.107580427841045,0.0484160191273162,0.0345984090435108,-0.0364583333333333,0.137127371273713,0.103603603603604,0.0501193317422435,-0.00126732977456889,0.00686213349968812,0.0555026241421074,0.0543448114791189,0.0214453368349593,0.0296527506827936,0.0069642769329919,0.0674553494515592,0.0923384930904829,0.0551456028191098,0.0861079219288175,0.0105655686761964,-0.016602809706258,0.0221130221130221,0.055192878338279,0.0437886701323749,NA
