"","CEB01","CEB03","CEB04","CEB06","CEB07","CEB08","CEB09","CEB13","CEB14","CEB15","CEB16","CEB18","CEB19","CEB20","CEB22","CEB23","CEB26","CEB27","CEB29","LEY05","LEY06","LEY11","LEY13","LEY14","LEY15"
"CEB16",0.000734791252485116,-0.0113836041027418,-0.0182732195241726,-0.00580606533053453,-0.00231702830111253,0.0129017228181889,-0.000133947792253334,0.0186750107422628,0.0245865465152087,0.0404905812664381,NA,0.0376338248387587,0.0101687908862627,-8.5973609141748e-05,0.00168604757487732,0.00322122301380555,0.0131573157315732,0.0031534032327142,0.000412926261693686,-0.00447044306487178,0.00524734311740893,-0.00268010257103234,-0.0020615982508427,-0.0121681184682997,0.014674928971532
"CEB18",0,0.0275920561313845,0,0.02901858493642,0.0375335120643432,0,0,0,0.00423348300192431,0,0.0376338248387587,NA,0.0495620357024061,0.0341306337601041,0.0376135741652983,0.048110338835795,0,0,0.0177395961173714,0.0289476671585878,0,0,0,0,0.0661056361421769
"CEB19",0.00817160367722171,0.0122095410213818,-0.00617778286237267,0.00762967665764474,0.017725793738256,0.0228020419739082,-0.000573460259203993,0.0388079617480263,0.0450244143871287,0.0554206226540075,0.0101687908862627,0.0495620357024061,NA,0.000599175322352854,0.0112584159562497,0.00309342910388643,0.0209406494960807,0.013557790080217,0.0147007923308472,0.0246915730211291,0.032596685082873,0.0390564148214088,0.000690846286701265,0.0352979986804487,0.0281813377472879
"CEB20",0.00156163983417415,-0.00603528740281743,-0.0246356338076697,-0.00346452408560527,-0.0020098169406434,-0.0063367876832978,0.00138718154033546,0.0174713003431663,0.0168089051975077,0.0404343352525231,-8.5973609141748e-05,0.0341306337601041,0.000599175322352854,NA,0.0115588148762095,-0.00757402073588951,0.0105183402415653,0.00059650425994086,-0.00649206814200182,-0.00705379077782894,0.00285935344972592,0.00480057832849518,-0.0182768826801487,0.00038200530313251,0.0178055922451054
"CEB22",0.0120057981919379,0.00657619970580178,-0.0158945949314028,-0.000346688821281505,0.0116333180445604,0.0157991426821801,0.0145389717525386,0.0242309220108576,0.0272683139902885,0.0422345103844647,0.00168604757487732,0.0376135741652983,0.0112584159562497,0.0115588148762095,NA,0.00192974872106403,0.00805966826227324,0.00463737096738239,0.00077411409316096,0.0121497216562728,-0.0114690065100481,0.0209036484557416,0.00045006525946268,0.0130555218346154,0.0313809592327004
"CEB23",-0.153210179563364,-0.011720308915171,-0.0285125386465132,-0.0118922237584917,-0.0137374126521063,0.0119995514186386,0.00891861761426983,0.0221926320461607,0.0179772355118004,0.0397627416520211,0.00322122301380555,0.048110338835795,0.00309342910388643,-0.00757402073588951,0.00192974872106403,NA,-0.00246195165622198,0.00378998996767365,-0.0123397066437887,-0.00174166296746671,0.00600000000000005,0.0147009689274975,-0.0230414746543778,-0.0215212935549988,0.0194015053340215
"CEB26",0,0.00526461623718483,0,-0.00549692172383461,0.0100312082032992,0,0,0,-0.0213631739572737,0,0.0131573157315732,0,0.0209406494960807,0.0105183402415653,0.00805966826227324,-0.00246195165622198,NA,0,0.0013080444735121,0.0182825484764543,0,0,0,0,0.0555014605647517
"CEB27",0,0.00719472239440363,0,-0.0102841977219949,0.00571300548896606,0,0,0,-0.0122249388753056,0,0.0031534032327142,0,0.013557790080217,0.00059650425994086,0.00463737096738239,0.00378998996767365,0,NA,-0.00165837479270315,0.0389863547758285,0,0,0,0,0.027284826974268
"CEB29",-0.0221130221130221,-0.00700732829853676,-0.018679119412942,-0.019172772784803,-0.0160263696294612,-0.0183836281651058,-0.0114247311827957,-0.00641241984475194,-0.00287372513664281,0.0228552500828089,0.000412926261693686,0.0177395961173714,0.0147007923308472,-0.00649206814200182,0.00077411409316096,-0.0123397066437887,0.0013080444735121,-0.00165837479270315,NA,-0.0256962958761132,-0.00831024930747922,0.0103230103230103,-0.00541149943630214,-0.0242605516782984,-0.00570375064815348
"LEY05",0.00169204737732657,0.00370790351780132,0.00330105633802817,-0.0130036175852276,-0.0107969151670951,0.013959822948587,-0.0105790012512797,0.0159990922500851,-0.00840144024689947,0.0623556581986143,-0.00447044306487178,0.0289476671585878,0.0246915730211291,-0.00705379077782894,0.0121497216562728,-0.00174166296746671,0.0182825484764543,0.0389863547758285,-0.0256962958761132,NA,-0.002710027100271,-0.0077319587628866,-0.0227246241696772,0.0136651483168537,0.0251988652166657
"LEY06",0,0.000612097267820398,0,-0.0235912343470483,-0.017364657814096,0,0,0,-0.00405131667792032,0,0.00524734311740893,0,0.032596685082873,0.00285935344972592,-0.0114690065100481,0.00600000000000005,0,0,-0.00831024930747922,-0.002710027100271,NA,0,0,0,0.0114170584284755
"LEY11",0,0.0139875666074601,0,-0.0389789582614694,0.000341025349550983,0,0,0,-0.000351411502869861,0,-0.00268010257103234,0,0.0390564148214088,0.00480057832849518,0.0209036484557416,0.0147009689274975,0,0,0.0103230103230103,-0.0077319587628866,0,NA,0,0,0.032892505934215
"LEY13",0,-0.0121927705377295,0,-0.0510534846029173,-0.0262513125656283,0,0,0,-0.0232343081724656,0,-0.0020615982508427,0,0.000690846286701265,-0.0182768826801487,0.00045006525946268,-0.0230414746543778,0,0,-0.00541149943630214,-0.0227246241696772,0,0,NA,0,0.00377272207614039
"LEY14",0,-0.0157529219129354,0,-0.0399138224288468,-0.0163524869407222,0,0,0,-0.00522466039707419,0,-0.0121681184682997,0,0.0352979986804487,0.00038200530313251,0.0130555218346154,-0.0215212935549988,0,0,-0.0242605516782984,0.0136651483168537,0,0,0,NA,-0.00101798439090601
"LEY15",0.0372732270478285,0.013106490399123,0.0337963469320792,-0.0166769251769119,0.0139979515192899,0.00280964645282135,0.0156853830416004,0.00418896904817314,0.00847995385059129,0.070509977827051,0.014674928971532,0.0661056361421769,0.0281813377472879,0.0178055922451054,0.0313809592327004,0.0194015053340215,0.0555014605647517,0.027284826974268,-0.00570375064815348,0.0251988652166657,0.0114170584284755,0.032892505934215,0.00377272207614039,-0.00101798439090601,NA
